item_name,item_id,trackable,bundle,cooking,crafting,quest,shipping,crop,fish,forage,spring,summer,fall,winter
Prehistoric Tool,115,0,0,0,0,0,0,0,0,0,0,0,0,0
Dried Starfish,116,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchor,117,0,0,0,0,0,0,0,0,0,0,0,0,0
Glass Shards,118,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone Flute,119,0,0,0,0,0,0,0,0,0,0,0,0,0
Prehistoric Handaxe,120,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwarvish Helm,121,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwarf Gadget,122,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Drum,123,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Mask,124,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Relic,125,0,0,0,0,0,0,0,0,0,0,0,0,0
Strange Doll,126,0,0,0,0,0,0,0,0,0,0,0,0,0
Pufferfish,128,1,0,0,0,0,0,0,1,0,0,1,0,0
Anchovy,129,1,0,0,0,0,0,0,1,0,1,0,1,0
Tuna,130,1,0,0,0,0,0,0,1,0,0,1,0,1
Sardine,131,1,0,0,0,0,0,0,1,0,1,0,1,1
Bream,132,1,0,0,0,0,0,0,1,0,1,1,1,1
Largemouth Bass,136,1,0,0,0,0,0,0,1,0,1,1,1,1
Smallmouth Bass,137,1,0,0,0,0,0,0,1,0,1,0,1,0
Rainbow Trout,138,1,0,0,0,0,0,0,1,0,0,1,0,0
Salmon,139,1,0,0,0,0,0,0,1,0,0,0,1,0
Walleye,140,1,0,0,0,0,0,0,1,0,0,0,1,1
Perch,141,1,0,0,0,0,0,0,1,0,0,0,0,1
Carp,142,1,0,0,0,0,0,0,1,0,1,1,1,1
Catfish,143,1,0,0,0,0,0,0,1,0,1,0,0,0
Pike,144,1,0,0,0,0,0,0,1,0,0,1,0,1
Sunfish,145,1,0,0,0,0,0,0,1,0,1,1,0,0
Red Mullet,146,1,0,0,0,0,0,0,1,0,0,1,0,1
Herring,147,1,0,0,0,0,0,0,1,0,1,0,0,1
Eel,148,1,0,0,0,0,0,0,1,0,1,0,1,0
Octopus,149,1,0,0,0,0,0,0,1,0,0,1,0,0
Red Snapper,150,1,0,0,0,0,0,0,1,0,0,1,1,1
Squid,151,1,0,0,0,0,0,0,1,0,0,0,0,1
Seaweed,152,1,0,0,0,0,0,0,1,0,1,1,1,1
Green Algae,153,1,0,0,0,0,0,0,1,0,1,1,1,1
Sea Cucumber,154,1,0,0,0,0,0,0,1,0,0,0,1,1
Super Cucumber,155,1,0,0,0,0,0,0,1,0,0,1,1,0
Ghostfish,156,1,0,0,0,0,0,0,1,0,1,1,1,1
White Algae,157,1,0,0,0,0,0,0,1,0,1,1,1,1
Stonefish,158,1,0,0,0,0,0,0,1,0,1,1,1,1
Crimsonfish,159,1,0,0,0,0,0,0,1,0,0,1,0,0
Angler,160,1,0,0,0,0,0,0,1,0,0,0,1,0
Ice Pip,161,1,0,0,0,0,0,0,1,0,1,1,1,1
Lava Eel,162,1,0,0,0,0,0,0,1,0,1,1,1,1
Legend Fish,163,1,0,0,0,0,0,0,1,0,1,0,0,0
Sandfish,164,1,0,0,0,0,0,0,1,0,1,1,1,1
Scorpion Carp,165,1,0,0,0,0,0,0,1,0,1,1,1,1
Treasure Chest,166,0,0,0,0,0,0,0,0,0,0,0,0,0
Joja Cola,167,0,0,0,0,0,0,0,0,0,0,0,0,0
Trash,168,0,0,0,0,0,0,0,0,0,0,0,0,0
Driftwood,169,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken Glasses,170,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken CD,171,0,0,0,0,0,0,0,0,0,0,0,0,0
Soggy Newspaper,172,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Egg (Brown),174,1,0,0,0,0,1,0,0,0,0,0,0,0
Egg (Brown),176,1,0,0,0,0,1,0,0,0,0,0,0,0
Hay,178,0,0,0,0,0,0,0,0,0,0,0,0,0
Egg (White),180,1,0,0,0,0,1,0,0,0,0,0,0,0
Large Egg (White),182,1,0,0,0,0,1,0,0,0,0,0,0,0
Milk,184,1,0,0,0,0,1,0,0,0,0,0,0,0
Large Milk,186,1,0,0,0,0,1,0,0,0,0,0,0,0
Green Bean,188,1,0,0,0,0,1,1,0,0,1,0,0,0
Cauliflower,190,1,0,0,0,0,1,1,0,0,1,0,0,0
Ornate Necklace,191,0,0,0,0,0,0,0,0,0,0,0,0,0
Potato,192,1,0,0,0,0,1,1,0,0,1,0,0,0
Fried Egg,194,1,0,1,0,0,0,0,0,0,0,0,0,0
Omelet,195,1,0,1,0,0,0,0,0,0,0,0,0,0
Salad,196,1,0,1,0,0,0,0,0,0,0,0,0,0
Cheese Cauliflower,197,1,0,1,0,0,0,0,0,0,0,0,0,0
Baked Fish,198,1,0,1,0,0,0,0,0,0,0,0,0,0
Parsnip Soup,199,1,0,1,0,0,0,0,0,0,0,0,0,0
Vegetable Medley,200,1,0,1,0,0,0,0,0,0,0,0,0,0
Complete Breakfast,201,1,0,1,0,0,0,0,0,0,0,0,0,0
Fried Calamari,202,1,0,1,0,0,0,0,0,0,0,0,0,0
Strange Bun,203,1,0,1,0,0,0,0,0,0,0,0,0,0
Lucky Lunch,204,1,0,1,0,0,0,0,0,0,0,0,0,0
Fried Mushroom,205,1,0,1,0,0,0,0,0,0,0,0,0,0
Pizza,206,1,0,1,0,0,0,0,0,0,0,0,0,0
Bean Hotpot,207,1,0,1,0,0,0,0,0,0,0,0,0,0
Glazed Yams,208,1,0,1,0,0,0,0,0,0,0,0,0,0
Carp Surprise,209,1,0,1,0,0,0,0,0,0,0,0,0,0
Hashbrowns,210,1,0,1,0,0,0,0,0,0,0,0,0,0
Pancakes,211,1,0,1,0,0,0,0,0,0,0,0,0,0
Salmon Dinner,212,1,0,1,0,0,0,0,0,0,0,0,0,0
Fish Taco,213,1,0,1,0,0,0,0,0,0,0,0,0,0
Crispy Bass,214,1,0,1,0,0,0,0,0,0,0,0,0,0
Pepper Poppers,215,1,0,1,0,0,0,0,0,0,0,0,0,0
Bread,216,1,0,1,0,0,0,0,0,0,0,0,0,0
Tom Kha Soup,218,1,0,1,0,0,0,0,0,0,0,0,0,0
Trout Soup,219,1,0,1,0,0,0,0,0,0,0,0,0,0
Chocolate Cake,220,1,0,1,0,0,0,0,0,0,0,0,0,0
Pink Cake,221,1,0,1,0,0,0,0,0,0,0,0,0,0
Rhubarb Pie,222,1,0,1,0,0,0,0,0,0,0,0,0,0
Cookie,223,1,0,1,0,0,0,0,0,0,0,0,0,0
Spaghetti,224,1,0,1,0,0,0,0,0,0,0,0,0,0
Fried Eel,225,1,0,1,0,0,0,0,0,0,0,0,0,0
Spicy Eel,226,1,0,1,0,0,0,0,0,0,0,0,0,0
Sashimi,227,1,0,1,0,0,0,0,0,0,0,0,0,0
Maki Roll,228,1,0,1,0,0,0,0,0,0,0,0,0,0
Tortilla,229,1,0,1,0,0,0,0,0,0,0,0,0,0
Red Plate,230,1,0,1,0,0,0,0,0,0,0,0,0,0
Eggplant Parmesan,231,1,0,1,0,0,0,0,0,0,0,0,0,0
Rice Pudding,232,1,0,1,0,0,0,0,0,0,0,0,0,0
Ice Cream,233,1,0,1,0,0,0,0,0,0,0,0,0,0
Blueberry Tart,234,1,0,1,0,0,0,0,0,0,0,0,0,0
Autumn's Bounty,235,1,0,1,0,0,0,0,0,0,0,0,0,0
Pumpkin Soup,236,1,0,1,0,0,0,0,0,0,0,0,0,0
Super Meal,237,1,0,1,0,0,0,0,0,0,0,0,0,0
Cranberry Sauce,238,1,0,1,0,0,0,0,0,0,0,0,0,0
Stuffing,239,1,0,1,0,0,0,0,0,0,0,0,0,0
Farmer's Lunch,240,1,0,1,0,0,0,0,0,0,0,0,0,0
Survival Burger,241,1,0,1,0,0,0,0,0,0,0,0,0,0
Dish o' The Sea,242,1,0,1,0,0,0,0,0,0,0,0,0,0
Miner's Treat,243,1,0,1,0,0,0,0,0,0,0,0,0,0
Roots Platter,244,1,0,1,0,0,0,0,0,0,0,0,0,0
Sugar,245,0,0,0,0,0,0,0,0,0,0,1,1,0
Wheat Flour,246,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil,247,1,0,1,0,0,0,0,0,0,0,0,0,0
Garlic,248,1,0,0,0,0,1,1,0,0,1,0,0,0
Kale,250,1,0,0,0,0,1,1,0,0,1,0,0,0
Tea Sapling,251,1,0,0,1,0,0,0,0,0,0,0,0,0
Rhubarb,252,1,0,0,0,0,1,1,0,0,1,0,0,0
Triple Shot Espresso,253,1,0,1,0,0,0,0,0,0,0,0,0,0
Melon,254,1,0,0,0,0,1,1,0,0,0,1,0,0
Tomato,256,1,0,0,0,0,1,1,0,0,0,1,0,0
Morel,257,1,0,0,0,0,1,0,0,1,1,0,0,0
Blueberry,258,1,0,0,0,0,1,1,0,0,0,1,0,0
Fiddlehead Fern,259,1,0,0,0,0,1,0,0,1,0,1,0,0
Hot Pepper,260,1,0,0,0,0,1,1,0,0,0,1,0,0
Warp Totem: Desert,261,1,0,0,1,0,0,0,0,0,0,0,0,0
Wheat,262,1,0,0,0,0,1,1,0,0,0,1,1,0
Radish,264,1,0,0,0,0,1,1,0,0,0,1,0,0
Seafoam Pudding,265,1,0,1,0,0,0,0,0,0,0,0,0,0
Red Cabbage,266,1,0,0,0,0,1,1,0,0,0,1,0,0
Flounder,267,1,0,0,0,0,0,0,1,0,1,1,0,0
Starfruit,268,1,0,0,0,0,1,1,0,0,0,1,0,0
Midnight Carp,269,1,0,0,0,0,0,0,1,0,0,0,1,1
Corn,270,1,0,0,0,0,1,1,0,0,0,1,1,0
Unmilled Rice,271,1,0,0,0,0,1,1,0,0,1,0,0,0
Eggplant,272,1,0,0,0,0,1,1,0,0,0,0,1,0
Rice Shoot,273,0,0,0,0,0,0,0,0,0,0,0,0,0
Artichoke,274,1,0,0,0,0,1,1,0,0,0,0,1,0
Artifact Trove,275,0,0,0,0,0,0,0,0,0,0,0,0,0
Pumpkin,276,1,0,0,0,0,1,1,0,0,0,0,1,0
Wilted Bouquet,277,0,0,0,0,0,0,0,0,0,0,0,0,0
Bok Choy,278,1,0,0,0,0,1,1,0,0,0,0,1,0
Magic Rock Candy,279,0,0,0,0,0,0,0,0,0,0,0,0,0
Yam,280,1,0,0,0,0,1,1,0,0,0,0,1,0
Chanterelle,281,1,0,0,0,0,1,0,0,1,0,0,1,0
Cranberries,282,1,0,0,0,0,1,1,0,0,0,0,1,0
Holly,283,1,0,0,0,0,1,0,0,1,0,0,0,1
Beet,284,1,0,0,0,0,1,1,0,0,0,0,1,0
Cherry Bomb,286,1,0,0,1,0,0,0,0,0,0,0,0,0
Bomb,287,1,0,0,1,0,0,0,0,0,0,0,0,0
Mega Bomb,288,1,0,0,1,0,0,0,0,0,0,0,0,0
Ostrich Egg,289,1,0,0,0,0,1,0,0,0,0,0,0,0
Mahogany Seed,292,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick Floor,293,1,0,0,1,0,0,0,0,0,0,0,0,0
Twig,294,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonberry,296,1,0,0,0,0,1,0,0,1,1,0,0,0
Grass Starter,297,1,0,0,1,0,0,0,0,0,0,0,0,0
Hardwood Fence,298,1,0,0,1,0,0,0,0,0,0,0,0,0
Amaranth Seeds,299,0,0,0,0,0,0,0,0,0,0,0,1,0
Amaranth,300,1,0,0,0,0,1,1,0,0,0,0,1,0
Grape Starter,301,0,0,0,0,0,0,0,0,0,0,0,1,0
Hops Starter,302,0,0,0,0,0,0,0,0,0,0,1,0,0
Pale Ale,303,1,0,0,0,0,1,0,0,0,0,0,0,0
Hops,304,1,0,0,0,0,1,1,0,0,0,1,0,0
Void Egg,305,1,0,0,0,0,1,0,0,0,0,0,0,0
Mayonnaise,306,1,0,0,0,0,1,0,0,0,0,0,0,0
Duck Mayonnaise,307,1,0,0,0,0,1,0,0,0,0,0,0,0
Void Mayonnaise,308,1,0,0,0,0,1,0,0,0,0,0,0,0
Acorn,309,0,0,0,0,0,0,0,0,0,1,1,1,0
Maple Seed,310,0,0,0,0,0,0,0,0,0,0,0,0,0
Pine Cone,311,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood Fence,322,1,0,0,1,0,0,0,0,0,0,0,0,0
Stone Fence,323,1,0,0,1,0,0,0,0,0,0,0,0,0
Iron Fence,324,1,0,0,1,0,0,0,0,0,0,0,0,0
Gate,325,1,0,0,1,0,0,0,0,0,0,0,0,0
Dwarvish Translation Guide,326,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood Floor,328,1,0,0,1,0,0,0,0,0,0,0,0,0
Stone Floor,329,1,0,0,1,0,0,0,0,0,0,0,0,0
Clay,330,1,0,0,0,0,1,0,0,0,0,0,0,0
Weathered Floor,331,1,0,0,1,0,0,0,0,0,0,0,0,0
Crystal Floor,333,1,0,0,1,0,0,0,0,0,0,0,0,0
Copper Bar,334,1,0,0,0,0,1,0,0,0,0,0,0,0
Iron Bar,335,1,0,0,1,0,1,0,0,0,0,0,0,0
Gold Bar,336,1,0,0,1,0,1,0,0,0,0,0,0,0
Iridium Bar,337,1,0,0,0,0,1,0,0,0,0,0,0,0
Refined Quartz,338,1,0,0,0,0,1,0,0,0,0,0,0,0
Honey,340,1,0,0,0,0,1,0,0,0,1,1,1,0
Tea Set,341,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickles,342,1,0,0,0,0,1,0,0,0,0,0,0,0
Jelly,344,1,0,0,0,0,1,0,0,0,0,0,0,0
Beer,346,1,0,0,0,0,1,0,0,0,0,0,0,0
Rare Seed,347,0,0,0,0,0,0,0,0,0,0,0,0,0
Wine,348,1,0,0,0,0,1,0,0,0,0,0,0,0
Energy Tonic,349,0,0,0,0,0,0,0,0,0,0,0,0,0
Juice,350,1,0,0,0,0,1,0,0,0,0,0,0,0
Muscle Remedy,351,0,0,0,0,0,0,0,0,0,0,0,0,0
Basic Fertilizer,368,1,0,0,1,0,0,0,0,0,0,0,0,0
Quality Fertilizer,369,1,0,0,1,0,0,0,0,0,0,0,0,0
Basic Retaining Soil,370,1,0,0,1,0,0,0,0,0,0,0,0,0
Quality Retaining Soil,371,1,0,0,1,0,0,0,0,0,0,0,0,0
Clam,372,1,0,0,0,0,0,0,1,0,1,1,1,1
Golden Pumpkin,373,0,0,0,0,0,0,0,0,0,0,0,0,0
Poppy,376,1,0,0,0,0,1,1,0,0,0,1,0,0
Copper Ore,378,1,0,0,0,0,1,0,0,0,0,0,0,0
Iron Ore,380,1,0,0,0,0,1,0,0,0,0,0,0,0
Coal,382,1,0,0,0,0,1,0,0,0,0,0,0,0
Gold Ore,384,1,0,0,0,0,1,0,0,0,0,0,0,0
Iridium Ore,386,1,0,0,0,0,1,0,0,0,0,0,0,0
Wood,388,1,0,0,0,0,1,0,0,0,0,0,0,0
Nautilus Shell,392,1,0,0,0,0,1,0,0,0,0,0,0,0
Coral,393,1,0,0,0,0,1,0,0,1,1,1,1,1
Rainbow Shell,394,1,0,0,0,0,1,0,0,0,0,0,0,0
Coffee,395,0,0,0,0,0,0,0,0,0,0,0,0,0
Spice Berry,396,1,0,0,0,0,1,0,0,1,0,1,0,0
Sea Urchin,397,1,0,0,0,0,1,0,0,1,1,1,1,1
Grape,398,1,0,0,0,0,1,0,0,1,0,1,0,0
Spring Onion,399,1,0,0,0,0,1,0,0,1,1,0,0,0
Strawberry,400,1,0,0,0,0,1,1,0,0,1,0,0,0
Straw Floor,401,1,0,0,1,0,0,0,0,0,0,0,0,0
Sweet Pea,402,1,0,0,0,0,1,0,0,1,0,1,0,0
Field Snack,403,1,0,0,1,0,0,0,0,0,0,0,0,0
Common Mushroom,404,1,0,0,0,0,1,0,0,1,1,0,1,0
Wood Path,405,1,0,0,1,0,0,0,0,0,0,0,0,0
Wild Plum,406,1,0,0,0,0,1,0,0,1,0,0,1,0
Gravel Path,407,1,0,0,1,0,0,0,0,0,0,0,0,0
Hazelnut,408,1,0,0,0,0,1,0,0,1,0,0,1,0
Crystal Path,409,1,0,0,1,0,0,0,0,0,0,0,0,0
Blackberry,410,1,0,0,0,0,1,0,0,1,0,0,1,0
Cobblestone Path,411,1,0,0,1,0,0,0,0,0,0,0,0,0
Winter Root,412,1,0,0,0,0,1,0,0,1,0,0,0,1
Blue Slime Egg,413,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Fruit,414,1,0,0,0,0,1,0,0,1,0,0,0,1
Stepping Stone Path,415,1,0,0,1,0,0,0,0,0,0,0,0,0
Snow Yam,416,1,0,0,0,0,1,0,0,1,0,0,0,1
Sweet Gem Berry,417,1,0,0,0,0,1,1,0,0,0,0,1,0
Crocus,418,1,0,0,0,0,1,0,0,1,0,0,0,1
Vinegar,419,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Mushroom,420,1,0,0,0,0,1,0,0,1,1,1,1,1
Sunflower,421,1,0,0,0,0,1,1,0,0,0,1,1,0
Purple Mushroom,422,1,0,0,0,0,1,0,0,1,1,1,1,1
Rice,423,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheese,424,1,0,0,0,0,1,0,0,0,0,0,0,0
Fairy Seeds,425,0,0,0,0,0,0,0,0,0,0,0,1,0
Goat Cheese,426,1,0,0,0,0,1,0,0,0,0,0,0,0
Tulip Bulb,427,0,0,0,0,0,0,0,0,0,1,0,0,0
Cloth,428,1,0,0,0,0,1,0,0,0,0,0,0,0
Jazz Seeds,429,0,0,0,0,0,0,0,0,0,1,0,0,0
Truffle,430,1,0,0,0,0,1,0,0,1,1,1,1,0
Sunflower Seeds,431,0,0,0,0,0,0,0,0,0,0,0,0,0
Truffle Oil,432,1,0,0,0,0,1,0,0,0,0,0,0,0
Coffee Bean,433,1,0,0,0,0,1,1,0,0,1,1,0,0
Stardrop,434,0,0,0,0,0,0,0,0,0,0,0,0,0
Goat Milk,436,1,0,0,0,0,1,0,0,0,0,0,0,0
Red Slime Egg,437,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Goat Milk,438,1,0,0,0,0,1,0,0,0,0,0,0,0
Purple Slime Egg,439,0,0,0,0,0,0,0,0,0,0,0,0,0
Wool,440,1,0,0,0,0,1,0,0,0,0,0,0,0
Explosive Ammo,441,1,0,0,1,0,0,0,0,0,0,0,0,0
Duck Egg,442,1,0,0,0,0,1,0,0,0,0,0,0,0
Duck Feather,444,1,0,0,0,0,1,0,0,0,0,0,0,0
Caviar,445,1,0,0,1,0,1,0,0,0,0,0,0,0
Rabbit's Foot,446,1,0,0,0,0,1,0,0,0,0,0,0,0
Aged Roe,447,1,0,0,0,0,1,0,0,0,0,0,0,0
Stone Base,449,0,0,0,0,0,0,0,0,0,0,0,0,0
Poppy Seeds,453,0,0,0,0,0,0,0,0,0,0,1,0,0
Ancient Fruit,454,1,0,0,0,0,1,1,0,0,1,1,1,0
Spangle Seeds,455,0,0,0,0,0,0,0,0,0,0,1,0,0
Algae Soup,456,1,0,1,0,0,0,0,0,0,0,0,0,0
Pale Broth,457,1,0,1,0,0,0,0,0,0,0,0,0,0
Bouquet,458,0,0,0,0,0,0,0,0,0,0,0,0,0
Mead,459,1,0,0,0,0,1,0,0,0,0,0,0,0
Mermaid's Pendant,460,0,0,0,0,0,0,0,0,0,0,0,0,0
Decorative Pot,461,0,0,0,0,0,0,0,0,0,0,0,0,0
Drum Block,463,1,0,0,1,0,0,0,0,0,0,0,0,0
Flute Block,464,1,0,0,1,0,0,0,0,0,0,0,0,0
Speed-Gro,465,1,0,0,1,0,0,0,0,0,0,0,0,0
Deluxe Speed-Gro,466,1,0,0,1,0,0,0,0,0,0,0,0,0
Parsnip Seeds,472,0,0,0,0,0,0,0,0,0,1,0,0,0
Bean Starter,473,0,0,0,0,0,0,0,0,0,1,0,0,0
Cauliflower Seeds,474,0,0,0,0,0,0,0,0,0,1,0,0,0
Potato Seeds,475,0,0,0,0,0,0,0,0,0,1,0,0,0
Garlic Seeds,476,0,0,0,0,0,0,0,0,0,1,0,0,0
Kale Seeds,477,0,0,0,0,0,0,0,0,0,1,0,0,0
Rhubarb Seeds,478,0,0,0,0,0,0,0,0,0,1,0,0,0
Melon Seeds,479,0,0,0,0,0,0,0,0,0,0,1,0,0
Tomato Seeds,480,0,0,0,0,0,0,0,0,0,0,1,0,0
Blueberry Seeds,481,0,0,0,0,0,0,0,0,0,0,1,0,0
Pepper Seeds,482,0,0,0,0,0,0,0,0,0,0,1,0,0
Wheat Seeds,483,0,0,0,0,0,0,0,0,0,0,1,1,0
Radish Seeds,484,0,0,0,0,0,0,0,0,0,0,1,0,0
Red Cabbage Seeds,485,0,0,0,0,0,0,0,0,0,1,0,0,0
Starfruit Seeds,486,0,0,0,0,0,0,0,0,0,0,1,0,0
Corn Seeds,487,0,0,0,0,0,0,0,0,0,0,1,1,0
Eggplant Seeds,488,0,0,0,0,0,0,0,0,0,0,0,1,0
Artichoke Seeds,489,0,0,0,0,0,0,0,0,0,0,0,1,0
Pumpkin Seeds,490,0,0,0,0,0,0,0,0,0,0,0,1,0
Bok Choy Seeds,491,0,0,0,0,0,0,0,0,0,0,0,1,0
Yam Seeds,492,0,0,0,0,0,0,0,0,0,0,0,1,0
Cranberry Seeds,493,0,0,0,0,0,0,0,0,0,0,0,1,0
Beet Seeds,494,0,0,0,0,0,0,0,0,0,0,0,1,0
Spring Seeds,495,1,0,0,1,0,0,0,0,0,0,0,0,0
Summer Seeds,496,1,0,0,1,0,0,0,0,0,0,0,0,0
Fall Seeds,497,1,0,0,1,0,0,0,0,0,0,0,0,0
Winter Seeds,498,1,0,0,1,0,0,0,0,0,0,0,0,0
Ancient Seeds,499,1,0,0,1,0,0,0,0,0,1,1,1,1
Small Glow Ring,516,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow Ring,517,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Magnet Ring,518,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnet Ring,519,0,0,0,0,0,0,0,0,0,0,0,0,0
Slime Charmer Ring,520,0,0,0,0,0,0,0,0,0,0,0,0,0
Warrior Ring,521,1,0,0,1,0,0,0,0,0,0,0,0,0
Vampire Ring,522,0,0,0,0,0,0,0,0,0,0,0,0,0
Savage Ring,523,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring of Yoba,524,1,0,0,1,0,0,0,0,0,0,0,0,0
Sturdy Ring,525,1,0,0,1,0,0,0,0,0,0,0,0,0
Burglar's Ring,526,0,0,0,0,0,0,0,0,0,0,0,0,0
Iridium Band,527,1,0,0,1,0,0,0,0,0,0,0,0,0
Jukebox Ring,528,0,0,0,0,0,0,0,0,0,0,0,0,0
Amethyst Ring,529,0,0,0,0,0,0,0,0,0,0,0,0,0
Topaz Ring,530,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquamarine Ring,531,0,0,0,0,0,0,0,0,0,0,0,0,0
Jade Ring,532,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerald Ring,533,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruby Ring,534,0,0,0,0,0,0,0,0,0,0,0,0,0
Geode,535,0,0,0,0,0,0,0,0,0,0,0,0,0
Frozen Geode,536,0,0,0,0,0,0,0,0,0,0,0,0,0
Magma Geode,537,0,0,0,0,0,0,0,0,0,0,0,0,0
Alamite,538,0,0,0,0,0,0,0,0,0,0,0,0,0
Bixite,539,0,0,0,0,0,0,0,0,0,0,0,0,0
Baryte,540,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerinite,541,0,0,0,0,0,0,0,0,0,0,0,0,0
Calcite,542,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolomite,543,0,0,0,0,0,0,0,0,0,0,0,0,0
Esperite,544,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorapatite,545,0,0,0,0,0,0,0,0,0,0,0,0,0
Geminite,546,0,0,0,0,0,0,0,0,0,0,0,0,0
Helvite,547,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamborite,548,0,0,0,0,0,0,0,0,0,0,0,0,0
Jagoite,549,0,0,0,0,0,0,0,0,0,0,0,0,0
